,Unnamed: 0,song_id,artist_id,artist_name,artist_familiarity,artist_hotttnesss,title,song_hotttnesss,year,duration,loudness,tempo,artist_mbtags,release,release_7digitalid
807,807,SOGRKKB12A8C14595A,ARXPPEY1187FB51DF4,Michael Jackson,0.8665203198102411,0.7665454507572961,HISTORY,,1995,249.99138,-2.617,128.702,pop,King Of Pop,316040
860,860,SOGWNKK12A6701D95A,ARVN9FZ1187FB393F1,Snow Patrol,0.8183193591388943,0.667294595643469,Half The Fun,0.7022897771717785,2004,174.602,-4.022,142.01,northern irish,Final Straw,2308
866,866,SORUWYJ12AB0181EBF,ART3O5Z1187B9AB043,Stevie Ray Vaughan And Double Trouble,0.7337989404362274,0.544257505724526,Empty Arms,0.6934784707666202,1996,184.2673,-10.72,98.62299999999999,jazz and blues,Martin Scorsese Presents The Blues: Stevie Ray Vaughan,391613
930,930,SOWIZXE12AB0184B34,AR6PJ8R1187FB5AD70,Shakira,0.8331785608902065,0.8042197974467215,Loba,,2009,222.37995,-5.16,128.217,colombian,Loba,554310
997,997,SOQUGOE12A6D4FA6FF,ARKC83D1187B9AB367,Bill & Gloria Gaither,0.4939261446863902,0.31962677591740224,Awesome God,0.2707759989463275,0,181.15873,-13.991,139.23,none,Israel Homecoming,64629
1010,1010,SOBANAT12A6D4F7501,ARE8GLF1187FB52532,Red Hot Chili Peppers,0.8339679720525084,0.5769038155883393,Naked In The Rain (Album Version),0.7064300720873594,1991,265.63873,-10.557,116.28200000000001,alternative rock,Blood Sugar Sex Magik,30962
1022,1022,SODDPYN12A8C132735,AR78ZID1187B9B31ED,Mikey Dread,0.5856831498303938,0.3604457658067229,Two Track Dub (Dub / Instrumental Reggae Music),,1982,373.26322000000005,-13.192,145.055,classic pop and rock,Dub Catalogue,243041
1041,1041,SOCHRGA12AB017D5CE,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,All Kind of People,0.0,0,211.06893,-11.706,121.28399999999999,none,Rewind Selecta: Up Tempo Collection Volume 3,444849
1050,1050,SOIVGSZ12AB017F898,AROIHOI122988FEB8E,Mario Rosenstock,0.3345427836570606,0.04903438084848781,Bertie's Pets (Bonus Material),,0,250.30485,-29.521,49.17100000000001,none,Gift Grub 10 (Deluxe Edition),637060
1052,1052,SOEBMOR12AB018E580,AR8BMEQ1187B9B4214,Pumpkin Buzzard,0.3911088846318064,0.2400984057529611,Bladecrash Electrocution,,0,193.20118,-5.111000000000001,68.936,none,Knowledge Zombie,773435
1057,1057,SOLKIQV12AC3DF5531,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,Mash Up Mi Life,,0,258.01097999999996,-10.475,156.972,none,Niney Presents: No Hiding Place!,740622
1083,1083,SOCXRMP12AB018578E,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,Now We Know,,2007,193.93261,-13.687999999999999,163.84799999999998,none,The Serious Reggae Album Vol 2 Prt 2,758028
1134,1134,SODOXQL12AB01843D3,AR6PJ8R1187FB5AD70,Shakira,0.8331785608902065,0.8042197974467215,Did It Again (featuring Kid Cudi),,0,242.02403999999999,-5.242999999999999,137.935,colombian,Did It Again Feat. Kid Cudi,662916
1153,1153,SOOUUQC12AF72A56E3,ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,0.694025280206236,0.4794076755751476,The Hammer Song (2010 Digital Remaster),,0,255.4771,-10.794,99.565,seen live,The Good Son (2010 Digital Remaster),776439
1178,1178,SODOOHJ12A6D4F4A74,ARVN9FZ1187FB393F1,Snow Patrol,0.8183193591388943,0.667294595643469,Shut Your Eyes,,2006,209.162,-7.077999999999999,125.057,northern irish,Shut Your Eyes,78472
1223,1223,SOOJFKG12A8C1334E6,AR12F2S1187FB56EEF,Aerosmith,0.8725365986697359,0.6107314629039089,Lord Of The Thighs,,1974,425.03790999999995,-10.943,108.662,heavy metal,Classics Live,284052
1317,1317,SOCXRVU12A6D4F87A2,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,Walking Dub,0.21508031850922796,0,192.15628,-9.256,161.721,none,Ghetto-ology + Dub,225997
1319,1319,SOYKSBN12AB017EF6B,ART3O5Z1187B9AB043,Stevie Ray Vaughan And Double Trouble,0.7337989404362274,0.544257505724526,Chitlins Con Carne,0.6273634475759199,1996,235.65016,-13.277000000000001,111.834,jazz and blues,Blues At Sunrise,405525
1328,1328,SOGVJTG12A6701E991,AR12F2S1187FB56EEF,Aerosmith,0.8725365986697359,0.6107314629039089,Angel,0.4150497723158296,1987,335.33342000000005,-5.763,76.096,heavy metal,A Little South Of Sanity,419069
1358,1358,SOFNTFC12AB0184512,ARBB58Y1187B9B621B,Bill & Gloria Gaither,0.4268827623466008,0.3333034182734665,He Will Lead His Children Home,0.0,0,162.06322,-12.37,110.167,none,When All God's Singers Get Home,550682
1444,1444,SOFMMKA12A58A7CBF5,AR9W3X91187FB3994C,Phil Collins,0.6559214175882668,0.5783016335967479,Welcome,0.5493423317879715,2003,216.92036000000002,-8.238,123.943,british,Brother Bear Original Soundtrack (English Version),653590
1468,1468,SOBUAFP12A6D4F9934,AROIHOI122988FEB8E,Mario Rosenstock,0.3345427836570606,0.04903438084848781,Smoke,0.0,0,44.19873,-17.472,79.05,none,Gift Grub 7,49859
1480,1480,SODZIBG12A8C13F4F3,ARVN9FZ1187FB393F1,Snow Patrol,0.8183193591388943,0.667294595643469,Chasing Cars,,2006,268.95628,-6.621,106.00200000000001,northern irish,Shut Your Eyes,216969
1486,1486,SOSDYXX12AB017AD6B,ARX9YIP1187B98A656,RUN-DMC,0.6869889546292448,0.6066301517291853,King Of Rock,,1985,446.32770999999997,-5.19,98.0,hip-hop,King Of Rock,386879
1508,1508,SOBPYWO12A8C133A1A,ARBB58Y1187B9B621B,Bill & Gloria Gaither,0.4268827623466008,0.3333034182734665,Holy Ground (Homecoming Hymns Version),0.2920974044616832,0,318.45832,-11.58,71.533,none,Homecoming Hymns,143822
1510,1510,SOAWMQC12AB0184136,AR8BMEQ1187B9B4214,Pumpkin Buzzard,0.3911088846318064,0.2400984057529611,Hard Pure,,0,228.0224,-6.827999999999999,118.796,none,Underneath Rotting,639881
1853,1853,SORXWXC12A6D4F87B3,ARJIE2Y1187B994AB7,Line Renaud,0.4702122956890726,0.3200869267523748,Gwendolina,0.0,1994,146.15465,-12.158,137.567,none,Les Années Chansons,34757
1941,1941,SODHPQS12AC907282B,AREWQSE1187B9AEC6C,The Jackson Southernaires,0.3230089909532323,0.3114376403272833,Lord We Give You All The Praise,,0,356.10077,-10.65,92.555,none,Hear Our Prayers O Lord,600648
1964,1964,SOWJAVO12AB0180222,AR8BMEQ1187B9B4214,Pumpkin Buzzard,0.3911088846318064,0.2400984057529611,Gumby Killed the Dinosaur (House Mix),,0,137.63873,-5.676,169.771,none,Perfect Dragon,639908
2022,2022,SODEXMV12A8C13B960,ARX9YIP1187B98A656,RUN-DMC,0.6869889546292448,0.6066301517291853,Faces,0.4507622416414992,1990,267.59791,-13.306,73.507,hip-hop,Original Album Classics,597033
2073,2073,SOKFQQD12A8C138826,ARBB58Y1187B9B621B,Bill & Gloria Gaither,0.4268827623466008,0.3333034182734665,Jesus Hold My Hand (The Best of Homecoming - Volume 1 Version),0.28517574266835705,0,196.17914,-12.493,116.90299999999999,none,The Best Of Homecoming - Volume One,155742
2179,2179,SOYIUPV12AF72AC56B,ARXPPEY1187FB51DF4,Michael Jackson,0.8665203198102411,0.7665454507572961,Tabloid Junkie,,1995,272.71791,-6.779,111.132,pop,HIStory - PAST_ PRESENT AND FUTURE - Book I,280410
2206,2206,SORURGG12A8C13E8BF,ARX9YIP1187B98A656,RUN-DMC,0.6869889546292448,0.6066301517291853,Crack,0.2707759989463275,1988,101.74649000000001,-6.905,96.686,hip-hop,Tougher Than Leather,307454
2207,2207,SORUIOA12A8C13F7CE,ARDW74M1187B98DA34,Bill & Gloria Gaither,0.4340263679025057,0.23451976036910785,Stand By Me (Freedom Band Album Version),0.2504203242358393,0,207.41179,-18.34,40.27,none,Freedom Band,116383
2222,2222,SOSRGHC12AB01869E0,AR7KA5V1187FB44E6B,The Del McCoury Band,0.6087035683375998,0.3622189568153929,Rain Please Go Away,0.0,0,161.95873,-11.68,104.79,folk,Celebrating 50 Years Of Del McCoury,758081
2263,2263,SOQOQNQ12A81C21F1B,ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,0.6940216479070769,0.4794076755751476,Rock Of Gibraltar,0.5908602981061548,2003,180.03546,-8.537,158.404,seen live,Nocturama,275954
2311,2311,SOCUDML12A5829113A,AREWQSE1187B9AEC6C,The Jackson Southernaires,0.3230089909532323,0.3114376403272833,Thank You Mama,0.0,0,248.99873,-13.795,129.034,none,Thank You Mama For Praying For Me...,600571
2312,2312,SOEERUL12A8C144976,AR7KA5V1187FB44E6B,The Del McCoury Band,0.6087035683375998,0.3622189568153929,Gone But Not Forgotten,0.6193058811154868,0,188.49913999999998,-7.659,170.079,folk,Del And The Boys,757780
2327,2327,SOUOOCR12AB0182781,ARN03F71187FB4E3F4,Ayo,0.5225901845504569,0.3906412358783116,Down On My Knees,,2006,240.95302,-10.372,182.705,soul and reggae,Down On My Knees,363783
2351,2351,SOAZIRE12A6702046F,ARE8GLF1187FB52532,Red Hot Chili Peppers,0.8339679720525084,0.5762019662804653,Venice Queen (Album Version),0.9117334982310724,2002,367.01995,-5.278,88.57,alternative rock,By The Way,9153
2377,2377,SOEHCUK12AC468B7DE,AR78ZID1187B9B31ED,Mikey Dread,0.5856831498303938,0.3604457658067229,Hot Cross Bun,,1982,193.12281000000002,-8.173,132.088,classic pop and rock,Rockers Vibration,606097
2380,2380,SONGBCL12A8C1410C2,AROIHOI122988FEB8E,Mario Rosenstock,0.3345427836570606,0.04903438084848781,Paint Ball,,0,199.57506,-11.924000000000001,84.87100000000001,none,Gift Grub 8 - The G Factor,171941
2424,2424,SOENTVS12A8C136556,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,Informer,0.3725300393660796,2008,226.40281000000002,-5.627000000000001,154.585,none,Dance Hall Showcase Vol. II,203410
2466,2466,SOHMIIR12A6D223C84,ARXPPEY1187FB51DF4,Michael Jackson,0.8665197540507962,0.7665454507572961,Just A Little Bit Of You,,1975,192.57424,-7.98,110.28,pop,Soulsation! The 25th Anniversary Collection,76202
2488,2488,SOKXVOM12AB0182BED,AR8BMEQ1187B9B4214,Pumpkin Buzzard,0.3911088846318064,0.2400984057529611,The Buzzard's Back in Town (Live),,0,61.570159999999994,-7.477,87.406,none,Perfect Dragon,639908
2498,2498,SOMUYLX12CF58288C9,ART3O5Z1187B9AB043,Stevie Ray Vaughan And Double Trouble,0.7830371095483493,0.544257505724526,Mary Had A Little Lamb,,1988,166.73914,-14.373,122.546,jazz and blues,Soul To Soul/ Texas Flood/ Couldn't Stand The Weather,395797
2513,2513,SOCVMHO12A6D4F9C77,ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,0.6815813054346181,0.4794076755751476,Stagger Lee,0.47643521964252894,1996,315.08853,-9.29,153.768,seen live,Murder Ballads,738
2574,2574,SOCMXKQ12A8AE47D58,ARN03F71187FB4E3F4,Ayo,0.5225901845504569,0.3906412358783116,Life Is Real,,2006,534.6215900000001,-9.158,122.91,soul and reggae,Joyful,185630
2575,2575,SOVEIBB12A8C13E5C3,ARE8GLF1187FB52532,Red Hot Chili Peppers,0.8339679720525084,0.5769038155883393,Snow [Hey Oh] [Live Version],,0,319.55546,-4.144,106.575,alternative rock,Snow [Hey Oh] [Live],218123
2581,2581,SOHNTPT12AB01835EF,ARYDFJA1241B9CBFF2,Jacques Douai,0.31385115159841964,0.14519082979005074,L'Etang Chimérique,,0,122.46158999999999,-18.803,79.003,none,Heritage - Florilège - BAM (1954-1978),368970
2667,2667,SOAPEEL12A81C21ADE,ARBB58Y1187B9B621B,Bill & Gloria Gaither,0.4268827623466008,0.3333034182734665,Til The Storm Passes By,0.0,0,175.15057,-17.452,75.06,none,Turn Your Radio On,275489
2702,2702,SOMJNVK12A6D4FC4B2,ARE8GLF1187FB52532,Red Hot Chili Peppers,0.8339679720525084,0.5769038155883393,American Ghost Dance (2003 Digital Remastered),,1985,231.23546000000002,-4.8180000000000005,111.541,alternative rock,Freaky Styley,59411
2709,2709,SOHECOV12AB018D6A2,AR7KA5V1187FB44E6B,The Del McCoury Band,0.6087035683375998,0.3622189568153929,Asheville Turnaround,0.5187598979970994,0,154.74893,-9.059,177.945,folk,It's Just The Night,757773
2722,2722,SOJGVAK12A8AE46A93,AROIHOI122988FEB8E,Mario Rosenstock,0.3345427836570606,0.04903438084848781,Radio Roy II,,0,339.33016000000003,-7.018,84.76899999999999,none,Gift 2,281000
2729,2729,SOXOMUO12AF72AA7D1,ARXPPEY1187FB51DF4,Michael Jackson,0.8665203198102411,0.7665454507572961,Dirty Diana,,1987,281.73016,-4.843,131.319,pop,Michael Jackson: The Ultimate Collection,312343
2817,2817,SOVAPNH12A8AE46E05,ARCCRTI11F4C845308,White Heart,0.4773647524835352,0.33750728916593725,Nothing But The Best,0.5033812362063191,0,222.06649,-4.744,99.374,none,Righteous Rock: Classic Christian Hair Bands,234939
2891,2891,SOPWMAU12AB017A832,ARCCRTI11F4C845308,White Heart,0.4773647524835352,0.33750728916593725,Edge Of The Dream (Emergency Broadcast Album Version),,0,273.8673,-11.706,162.817,none,Emergency Broadcast,484159
2914,2914,SOCRBAD12AB0186467,ARYDFJA1241B9CBFF2,Jacques Douai,0.31385115159841964,0.14519082979005074,Chanson De La Patience,,0,136.75056999999998,-22.504,103.12,none,Heritage - Récital n°3 & 4 - BAM (1956-1957),368977
2917,2917,SOCWFQT12AB0188AA1,ARYDFJA1241B9CBFF2,Jacques Douai,0.31385115159841964,0.14519082979005074,Le Dormeur du Val,,0,189.59628,-20.869,77.645,none,Heritage - Récital N°1 & 2 - BAM (1954-1955),368978
2923,2923,SOWVZIQ12A8C1433C9,AR7KA5V1187FB44E6B,The Del McCoury Band,0.6087035683375998,0.3622189568153929,Led By the Master's Hand,0.0,2006,173.97506,-9.329,140.9,folk,The Promise Land,757775
2955,2955,SOQGFVA12A8C13AE87,ARXPPEY1187FB51DF4,Michael Jackson,0.8665203198102411,0.7665454507572961,We're Almost There,,1975,222.37995,-9.631,187.42700000000002,pop,The Real Thing: The Jackson 5,296020
2979,2979,SOQOHSQ12A6D4F80D5,ARCCRTI11F4C845308,White Heart,0.4773647524835352,0.33750728916593725,Sing Your Freedom,0.0,0,299.36281,-8.797,126.15299999999999,none,The Early Years - Whiteheart,41813
3042,3042,SOAXZLM12A6D4F7A95,ARCCRTI11F4C845308,White Heart,0.4773647524835352,0.33750728916593725,Hold On,0.4274465714884309,0,221.20443999999998,-10.383,125.881,none,Whiteheart,80491
3049,3049,SONAEER12A67020459,ARE8GLF1187FB52532,Red Hot Chili Peppers,0.8339679720525084,0.5769038155883393,Emit Remmus (Album Version),0.7345132497062585,1999,240.19546,-2.267,112.961,alternative rock,Californication,9152
3131,3131,SOILEMF12CF530E512,AR9W3X91187FB3994C,Phil Collins,0.8145062235993344,0.5848368887194165,You Can't Hurry Love  (LP Version),,0,172.93016,-11.812999999999999,97.649,british,Hits,133451
3154,3154,SOJHLKF12A8AE47D4C,ARN03F71187FB4E3F4,Ayo,0.5225901845504569,0.3906412358783116,Welcome Into My World,0.0,2006,264.56771000000003,-11.522,185.89,soul and reggae,Joyful,185630
3232,3232,SOUHJKU12AB017DF67,ARH6W4X1187B99274F,Radiohead,0.8999349522317316,0.6836580602023751,Stop Whispering (US Version),0.6070366907455167,1993,250.8273,-14.748,122.428,rock,Pablo Honey (Collector's Edition),404997
3234,3234,SOJONVF12AB01866C3,AROIHOI122988FEB8E,Mario Rosenstock,0.3345427836570606,0.04903438084848781,The Best Of Radio Roy 1 (Best of 2009),,0,195.70893,-9.279,81.65,none,Gift Grub 10,637025
3236,3236,SOIWOPZ12A8C135EBA,AR12F2S1187FB56EEF,Aerosmith,0.8725365986697359,0.6107314629039089,On The Road Again,0.4432913119053975,0,217.23382999999998,-11.719000000000001,148.358,heavy metal,Pandora's Box,285396
3277,3277,SOOPVJI12AB0183957,ARVN9FZ1187FB393F1,Snow Patrol,0.8183193591388943,0.667294595643469,Just Say Yes,0.9459946798220404,2009,284.1073,-5.519,107.99799999999999,northern irish,Just Say Yes,623494
3311,3311,SOEEWVH12A58A78C98,AR78ZID1187B9B31ED,Mikey Dread,0.5856831498303938,0.3604457658067229,The Jumping Master,0.5361150919759297,1981,309.83791,-7.325,144.144,classic pop and rock,World War III,246071
3403,3403,SOCRVUE12A8C13F949,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,More Than I Can Take,,0,223.21587000000002,-12.914000000000001,159.715,none,Reggae's Finest Volume 1,248195
3407,3407,SOYWSDZ12AB01812FE,AR8BMEQ1187B9B4214,Pumpkin Buzzard,0.3911088846318064,0.2400984057529611,Death Adventure,,0,122.40933999999999,-5.94,119.984,none,Underneath Rotting,639881
3532,3532,SOUNTXT12A8C138FC2,ARX9YIP1187B98A656,RUN-DMC,0.6869889546292448,0.6066301517291853,Can I Get A Witness,0.4715782477005801,1993,216.65913999999998,-12.274000000000001,102.176,hip-hop,Down With The King,295238
3548,3548,SOYVHRG12AB0182A0F,ARVN9FZ1187FB393F1,Snow Patrol,0.8183193591388943,0.667294595643469,Just Say Yes,,2009,255.60771,-4.815,89.34700000000001,northern irish,Just Say Yes,635709
3555,3555,SOBTIQL12A6701FD2D,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,Make It With You,,2007,207.90812,-12.692,148.382,none,Good Thing Going,14869
3573,3573,SODJJHJ12A8AE493AF,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,Devil Pickney,,0,284.73424,-5.807,161.35299999999998,none,Taxi 3 Trio,237570
3641,3641,SONCOOV12A58A79316,ARCCRTI11F4C845308,White Heart,0.4773647524835352,0.33750728916593725,In His Name,,0,260.46648999999996,-14.275,82.53299999999999,none,Hotline,80490
3662,3662,SOPPEEZ12A6D4F87B2,ARJIE2Y1187B994AB7,Line Renaud,0.4702122956890726,0.3200869267523748,Il Y A Des Anges,0.0,1994,140.30321999999998,-12.755,117.537,none,Les Années Chansons,34757
3714,3714,SOVTNTH12A8C1421C9,ART3O5Z1187B9AB043,Stevie Ray Vaughan And Double Trouble,0.7337989404362274,0.544257505724526,Come On (Pt. III),,0,256.13016,-9.716000000000001,158.136,jazz and blues,Srv,312331
3789,3789,SOPGXXV12AB0183709,ARH6W4X1187B99274F,Radiohead,0.8999349522317316,0.6758870114182804,Bullet Proof ... I Wish I Was (Acoustic),0.699770063001443,1995,214.7522,-18.146,153.08,rock,Fake Plastic Trees,1036
3824,3824,SOPTRXF12A8C135387,AREWQSE1187B9AEC6C,The Jackson Southernaires,0.3230089909532323,0.3114376403272833,Jesus Can Work It Out,,0,187.32363,-6.749,110.709,none,A Touch Of Class,253908
3843,3843,SONMMXM12CF530E58E,AR6PJ8R1187FB5AD70,Shakira,0.8573199009058027,0.7172098545666633,Ojos Así,,1998,409.99138,-7.936,87.054,colombian,Shakira MTV Unplugged,399217
3848,3848,SOIKYJF12A8C138BB7,ARX9YIP1187B98A656,RUN-DMC,0.6869889546292448,0.6066301517291853,Run's House,,1988,201.82159,-5.0680000000000005,198.56400000000002,hip-hop,It's Like This - The Best Of,399641
3897,3897,SODJKTV12A8C137456,AREWQSE1187B9AEC6C,The Jackson Southernaires,0.3230089909532323,0.3114376403272833,Keep On Doing What I'm Doing,,0,193.25342,-11.703,115.262,none,All God's Children,262311
3919,3919,SOCYGVT12A8C13ED02,ARBB58Y1187B9B621B,Bill & Gloria Gaither,0.4268827623466008,0.3333034182734665,Farther Along (Favorite Hymns Sung By The Homecoming Friends Album Version),0.0,0,216.18892999999997,-9.488999999999999,111.321,none,Favorite Hymns From The Homecoming Series,116557
3941,3941,SOXHMJM12A58A7A33A,AR9W3X91187FB3994C,Phil Collins,0.6559214175882668,0.5783016335967479,Dance Into The Light (LP Version),0.6485574713757069,1996,262.00771000000003,-6.547999999999999,87.87100000000001,british,Dance Into The Light,19068
3966,3966,SOFZQHK12A8C13B23E,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,Try Love,0.37952332442218817,1977,290.35057,-11.107000000000001,158.05100000000002,none,Sugar Minott at Studio One,265616
3975,3975,SOVUTTU12AC468D67E,AREWQSE1187B9AEC6C,The Jackson Southernaires,0.3230089909532323,0.3114376403272833,It's All In The Word,,0,281.25995,-8.038,110.167,none,The Word In Song,598764
3998,3998,SOUSXAY12A8C1358FA,AR6PJ8R1187FB5AD70,Shakira,0.8331785608902065,0.8042197974467215,Poem To A Horse,0.7731945003032438,2001,246.43873,-6.025,93.98200000000001,colombian,Laundry Service,528854
4000,4000,SOZQVTJ12A6701D96B,ARVN9FZ1187FB393F1,Snow Patrol,0.8183193591388943,0.667294595643469,Wow,0.7714739235051018,2003,242.05016,-5.694,143.03799999999998,northern irish,Final Straw,15520
4003,4003,SOBHBII12A6D4F9FFA,AROIHOI122988FEB8E,Mario Rosenstock,0.3345427836570606,0.04903438084848781,HUM,,0,29.49179,-11.043,126.476,none,Gift Grub 7,49859
4016,4016,SOAYEQY12A8C140810,AR78ZID1187B9B31ED,Mikey Dread,0.5856831498303938,0.3604457658067229,Have you got a Minute to spare,0.2669551862755385,0,251.14077000000003,-10.099,158.813,classic pop and rock,Pave the Way,611206
4020,4020,SOLOLMU12A8C133FBB,ARCCRTI11F4C845308,White Heart,0.4773647524835352,0.33750728916593725,Let The Kingdom Come (Freedom Album Version),0.2814663219423595,0,301.81832,-12.245,86.096,none,Freedom,148126
4031,4031,SOBJUKG12A58A7DCA8,AR9W3X91187FB3994C,Phil Collins,0.6559214175882668,0.5783016335967479,Two Hearts,0.6953188147283269,1988,204.19873,-2.6889999999999996,155.843,british,Love Songs,1792
4073,4073,SOMXQEF12AB0181AF0,AROIHOI122988FEB8E,Mario Rosenstock,0.3345427836570606,0.04903438084848781,Obama's Election (Best of 2009),,0,216.13669,-8.767000000000001,211.688,none,Gift Grub 10 (Deluxe Edition),637060
4103,4103,SOIPXAK12A8C133A08,ARBB58Y1187B9B621B,Bill & Gloria Gaither,0.4268827623466008,0.3333034182734665,God Lead Us Along (Homecoming Hymns Version),0.2613002852051427,0,199.02649,-15.515999999999998,50.066,none,Homecoming Hymns,143822
4112,4112,SOPXSEX12A670204A0,AR9W3X91187FB3994C,Phil Collins,0.6559214175882668,0.5783016335967479,That's What You Said  (LP Version),0.5183103193207527,1996,260.96281,-6.68,129.72899999999998,british,Dance Into The Light,19068
4134,4134,SOJRFYT12A6D4F9972,AR9W3X91187FB3994C,Phil Collins,0.6559214175882668,0.5783016335967479,I Cannot Believe It's True,0.5519215149416955,1982,316.39465,-11.763,121.044,british,Hello_ I Must Be Going,40837
4256,4256,SOAMDMA12AB0186434,ARYDFJA1241B9CBFF2,Jacques Douai,0.31385115159841964,0.14519082979005074,Pauvre Jean,,0,60.890980000000006,-18.852,127.14,none,Heritage - Récital N°5 & 6 - BAM (1958-1959),368975
4257,4257,SOEBBWH12A6D4F8016,AROF4LP1187FB41C51,Selena,0.7483207030670265,0.5458659170701919,Estoy Contigo,0.0,0,198.45179,-10.333,104.795,none,Mis Mejores Canciones - 17 Super Exitos,27643
4368,4368,SOOGMXN12A8C13954F,AROF4LP1187FB41C51,Selena,0.7483207030670265,0.5458659170701919,Techno Cumbia,0.5333708783158672,0,225.17506,-7.572,90.971,none,Unforgettable,205256
4400,4400,SOZQDCY12A58A7D5CD,AREWQSE1187B9AEC6C,The Jackson Southernaires,0.3230089909532323,0.3114376403272833,When We All Get To Heaven,,0,272.53506,-9.217,113.64299999999999,none,The Word In Song,598764
4455,4455,SOOZYMQ12AB018E589,AR8BMEQ1187B9B4214,Pumpkin Buzzard,0.3911088846318064,0.2400984057529611,The Sector of Foliage,,0,271.49016,-5.877999999999999,104.19,none,Knowledge Zombie,773435
4464,4464,SOEGYJV12A8AE47396,ARIRD6J1187FB5A98C,Sugar Minott,0.6069757372185262,0.38628965124618425,Jah Jah Children,0.5647575777499548,1977,185.99138,-9.11,167.947,none,Strictly Vocals 2,477674
